timestamp,open,high,low,close,volume
2024-01-01,99.09,100.43,98.42,100.0,730152
2024-01-02,99.98,102.41,98.89,100.75,335362
2024-01-03,100.06,101.33,98.34,100.54,319963
2024-01-04,101.92,106.54,100.82,101.51,368799
2024-01-05,104.7,105.37,103.64,103.79,712210
2024-01-06,102.52,105.24,102.32,103.44,330229
2024-01-07,102.41,104.19,101.86,103.09,750429
2024-01-08,106.01,107.95,104.89,105.46,561243
2024-01-09,107.48,108.64,106.0,106.61,351451
2024-01-10,106.35,107.88,103.04,105.91,827975
2024-01-11,108.19,110.62,106.5,106.72,186672
2024-01-12,104.98,108.42,103.95,106.03,132217
2024-01-13,106.0,106.93,103.34,105.33,953049
2024-01-14,105.6,106.69,105.22,105.69,120056
2024-01-15,102.66,104.33,101.56,102.82,234415
2024-01-16,101.94,102.21,98.24,100.23,566882
2024-01-17,99.02,100.27,97.48,99.39,244356
2024-01-18,97.6,98.85,96.76,97.87,584963
2024-01-19,98.82,99.12,96.84,98.34,388790
2024-01-20,96.72,97.61,92.9,96.98,640652
2024-01-21,94.93,95.17,94.79,94.86,453151
2024-01-22,98.0,98.64,96.16,97.06,453824
2024-01-23,98.17,100.73,94.38,96.72,351492
2024-01-24,97.73,98.27,95.45,96.82,251836
2024-01-25,95.16,95.74,94.44,94.69,649639
2024-01-26,95.11,96.29,92.38,93.87,906790
2024-01-27,93.37,94.46,92.54,94.03,257164
2024-01-28,92.67,92.76,89.65,92.31,791095
2024-01-29,93.98,96.13,91.41,92.87,296582
2024-01-30,92.8,93.07,90.13,91.97,775510
2024-01-31,91.82,92.81,90.55,91.53,514568
2024-02-01,91.14,93.84,87.68,90.63,219180
2024-02-02,93.35,93.7,92.33,93.41,509995
2024-02-03,93.7,93.85,93.15,93.39,554137
2024-02-04,93.42,94.4,89.29,91.8,727083
2024-02-05,94.0,95.44,92.12,93.04,389336
2024-02-06,91.73,93.91,90.71,91.2,727438
2024-02-07,91.85,92.53,90.53,91.52,625830
2024-02-08,88.77,90.5,88.12,88.58,818216
2024-02-09,87.04,88.09,85.2,86.59,792440
2024-02-10,86.5,88.97,85.22,86.88,844699
2024-02-11,86.36,89.87,86.0,87.99,764795
2024-02-12,88.25,90.16,87.68,88.25,551015
2024-02-13,88.33,89.32,87.45,88.07,161629
2024-02-14,88.85,89.51,84.67,87.62,648248
2024-02-15,85.13,85.95,85.05,85.4,292714
2024-02-16,85.11,85.31,83.98,84.32,523570
2024-02-17,83.65,84.25,81.89,83.63,939070
2024-02-18,85.99,87.71,84.38,85.22,965291
2024-02-19,85.03,86.01,83.85,85.73,614723
2024-02-20,82.7,85.64,82.07,83.09,787281
2024-02-21,82.94,85.19,82.55,83.58,483934
2024-02-22,81.67,85.3,81.24,83.0,419187
2024-02-23,80.77,82.8,80.62,81.98,563556
2024-02-24,83.42,85.0,80.7,82.9,578007
2024-02-25,84.56,85.8,84.08,84.45,161813
2024-02-26,84.9,86.19,83.58,85.84,235230
2024-02-27,85.5,85.95,83.75,84.58,962312
2024-02-28,84.21,86.12,83.4,84.12,803286
2024-02-29,84.83,85.19,82.8,84.62,897348
2024-03-01,86.33,87.1,84.45,86.08,606964
2024-03-02,84.51,85.53,84.37,85.36,646237
2024-03-03,85.49,85.89,84.49,85.08,192193
2024-03-04,82.76,83.78,82.47,83.42,536341
2024-03-05,83.27,83.89,80.56,81.63,740053
2024-03-06,83.18,84.79,79.72,82.85,101252
2024-03-07,84.36,86.67,83.31,84.88,415826
2024-03-08,84.97,85.93,84.72,84.78,828913
2024-03-09,86.47,87.89,83.83,86.28,555102
2024-03-10,87.11,89.17,85.78,86.82,563389
2024-03-11,85.78,87.04,85.38,85.86,347940
2024-03-12,86.24,88.1,85.69,86.4,417267
2024-03-13,89.17,89.63,88.66,88.7,900820
2024-03-14,87.73,89.37,85.55,88.65,761614
2024-03-15,91.73,93.05,90.41,91.0,994647
2024-03-16,87.87,88.15,86.51,87.07,653020
2024-03-17,88.31,88.95,87.35,88.3,136668
2024-03-18,88.47,89.06,85.85,88.43,848589
2024-03-19,88.39,88.46,85.24,87.98,998860
2024-03-20,87.62,88.45,85.26,88.12,883415
2024-03-21,84.98,85.27,84.71,85.14,310176
2024-03-22,84.96,85.89,84.78,84.81,735605
2024-03-23,85.6,86.52,84.41,85.35,167661
2024-03-24,88.88,89.18,86.87,87.56,971149
2024-03-25,87.03,87.46,85.7,86.78,921106
2024-03-26,84.92,86.66,84.7,85.57,347736
2024-03-27,84.78,86.69,84.53,84.82,758956
2024-03-28,87.54,88.6,86.18,86.19,126734
2024-03-29,87.87,89.75,86.02,86.69,637198
2024-03-30,85.54,87.79,85.07,85.89,294053
2024-03-31,86.13,86.93,85.12,86.66,699991
2024-04-01,85.15,86.84,84.41,86.81,172303
2024-04-02,87.25,88.72,86.75,88.26,886237
2024-04-03,87.85,88.02,85.06,87.21,360669
2024-04-04,86.65,86.83,85.75,86.71,441383
2024-04-05,87.12,87.22,85.04,86.13,800947
2024-04-06,84.44,84.99,83.56,83.93,204537
2024-04-07,84.21,84.55,83.29,84.38,467436
2024-04-08,84.78,85.56,84.71,84.77,866641
2024-04-09,86.42,88.75,83.09,84.77,105287
2024-04-10,84.6,85.32,83.51,84.42,556292
2024-04-11,84.21,84.94,82.04,82.3,707812
2024-04-12,81.8,82.25,80.95,81.67,564008
2024-04-13,80.74,82.64,80.52,81.15,237023
2024-04-14,80.23,80.93,79.35,79.95,158596
2024-04-15,79.32,80.23,78.85,79.71,779290
2024-04-16,79.98,81.21,79.69,80.32,248056
2024-04-17,82.92,84.28,82.62,83.14,139711
2024-04-18,84.45,86.69,82.99,83.41,318134
2024-04-19,85.39,87.29,82.34,83.79,611937
2024-04-20,82.39,84.75,82.28,83.68,635590
2024-04-21,79.62,82.17,79.21,80.8,957756
2024-04-22,80.43,82.81,80.39,80.76,756282
2024-04-23,80.46,81.33,79.15,80.85,313942
2024-04-24,83.9,84.97,83.39,84.55,945633
2024-04-25,84.64,85.04,83.01,84.26,254782
2024-04-26,84.3,85.65,81.66,84.71,950867
2024-04-27,85.69,86.22,84.15,84.66,463339
2024-04-28,82.47,84.51,80.07,82.91,592313
2024-04-29,84.0,86.11,81.87,84.62,494030
2024-04-30,86.95,87.93,83.95,85.75,306988
2024-05-01,87.63,88.75,85.89,86.94,311951
2024-05-02,85.73,86.31,85.3,85.57,990695
2024-05-03,88.64,89.45,86.92,87.68,841426
2024-05-04,85.42,85.79,85.3,85.57,234869
2024-05-05,85.95,87.04,85.45,86.45,594592
2024-05-06,89.43,89.81,88.12,89.74,430388
2024-05-07,89.37,90.2,87.51,88.25,984377
2024-05-08,86.9,88.61,84.91,87.4,280760
2024-05-09,86.31,90.89,86.12,87.55,666202
2024-05-10,87.42,88.77,86.62,86.8,604471
2024-05-11,83.51,84.8,82.65,84.47,643385
2024-05-12,85.3,85.62,83.25,84.58,721019
2024-05-13,81.91,83.16,80.64,82.98,535165
2024-05-14,82.8,84.63,81.99,83.69,551282
2024-05-15,81.95,84.86,80.23,82.31,697135
2024-05-16,85.81,86.67,84.51,84.64,688365
2024-05-17,83.65,85.83,81.62,83.46,897917
2024-05-18,85.22,86.63,82.74,82.98,286240
2024-05-19,83.75,84.47,82.76,84.2,962061
2024-05-20,83.09,84.79,82.2,82.35,837334
2024-05-21,83.09,84.02,82.59,82.7,307606
2024-05-22,84.68,85.6,83.91,84.66,687518
2024-05-23,81.82,82.83,80.35,82.24,427073
2024-05-24,83.09,84.59,82.02,82.52,112175
2024-05-25,84.23,85.44,82.12,82.91,510543
2024-05-26,83.33,84.36,82.47,84.08,378176
2024-05-27,82.49,83.99,81.12,82.23,360910
2024-05-28,80.1,82.05,78.73,80.25,770718
2024-05-29,82.08,84.18,80.12,81.03,756639
2024-05-30,80.35,83.98,78.31,81.48,238155
2024-05-31,81.57,82.16,81.23,81.85,607606
2024-06-01,82.4,82.8,80.75,82.37,135954
2024-06-02,82.71,82.82,80.4,81.35,123752
2024-06-03,83.0,83.21,81.48,81.7,216739
2024-06-04,83.02,84.4,82.0,82.14,585417
2024-06-05,82.12,84.08,80.41,81.07,328504
2024-06-06,85.32,85.35,82.79,83.87,129402
2024-06-07,83.85,86.52,81.97,84.58,672212
2024-06-08,81.32,84.33,80.57,82.79,201371
2024-06-09,83.8,83.98,83.51,83.78,677564
2024-06-10,81.09,83.27,79.48,82.31,111046
2024-06-11,82.78,84.14,82.62,83.49,808662
2024-06-12,85.62,85.84,84.2,85.23,861379
2024-06-13,84.56,86.04,83.83,84.0,771210
2024-06-14,85.75,87.01,82.91,85.45,793264
2024-06-15,85.79,88.06,84.94,86.07,707847
2024-06-16,86.05,87.78,85.45,87.3,599883
2024-06-17,90.57,90.94,89.35,90.14,345690
2024-06-18,89.72,90.52,89.51,89.78,714615
2024-06-19,87.57,89.47,86.03,88.64,111344
2024-06-20,88.34,89.61,86.77,87.31,817912
2024-06-21,86.6,88.23,84.86,86.09,452744
2024-06-22,86.31,86.56,85.64,85.97,980889
2024-06-23,85.46,87.36,85.03,86.48,386214
2024-06-24,87.26,87.52,85.55,86.9,387654
2024-06-25,88.08,89.77,84.83,88.14,166150
2024-06-26,88.24,88.79,87.64,88.16,310017
2024-06-27,90.09,90.44,88.87,90.34,590457
2024-06-28,89.73,90.1,89.23,89.94,941052
2024-06-29,92.48,95.5,91.48,94.02,738112
2024-06-30,95.17,96.24,94.86,94.96,541759
2024-07-01,94.52,97.64,92.89,93.67,970123
2024-07-02,90.72,94.18,89.67,92.07,626338
2024-07-03,93.42,95.65,92.43,92.79,265873
2024-07-04,91.66,93.38,91.62,92.46,311760
2024-07-05,93.72,94.86,93.2,93.53,601946
2024-07-06,94.11,95.23,91.34,94.24,279352
2024-07-07,93.6,94.25,93.53,94.13,550195
2024-07-08,92.48,93.58,92.33,92.86,576072
2024-07-09,90.19,91.26,89.44,90.59,218533
2024-07-10,90.33,91.76,89.8,89.92,555699
2024-07-11,90.0,92.9,89.32,91.2,474999
2024-07-12,91.45,92.65,89.8,91.52,946936
2024-07-13,90.2,92.06,87.49,89.65,865537
2024-07-14,88.11,90.96,87.89,89.91,904034
2024-07-15,89.08,91.14,87.78,90.49,426916
2024-07-16,88.45,90.34,88.17,89.17,666161
2024-07-17,89.48,90.1,89.13,89.4,669936
2024-07-18,90.21,90.25,87.24,89.48,433863
